"Frequency / Hz","Vm3:Measured voltage","Vm4:Measured voltage","Vm5:Measured voltage"
15750,9.8450237948469157e-11,8.8389813675796175e-11,1.3120461687380359e-10
15800,1.7482502085030264e-09,1.7055787329963221e-09,1.507295988580808e-09
15850,8.5943121719518818e-11,1.8931369221577224e-10,1.890614165962182e-10
15900,1.5698552471035331e-10,2.5257189954620176e-10,1.1482188539069928e-10
15950,3.7282130053501307e-11,2.0171594298304313e-10,1.7668795645065195e-10
16000,1.9130783451137465e-11,7.5052607550153872e-11,9.2898663807121878e-11
16050,1.6026781084832601e-10,2.2266999442625137e-10,6.5073048210043688e-11
16100,5.5374790005905079e-11,1.9622937613111922e-10,1.889905508351168e-10
16150,1.3189612480289174e-10,1.0038677313625529e-10,9.9068468346504583e-11
16200,1.0647315685921585e-10,6.7800233245327772e-11,4.6638826496646879e-11
16250,8.3917899029973201e-11,2.2183916764809743e-10,1.5544306793566396e-10
16300,6.3035810577093225e-11,6.8876453642377387e-11,1.3014532452951975e-10
16350,1.6702326164647765e-10,1.7990089188060428e-10,1.1087304471015262e-10
16400,1.7930175055795104e-10,2.6926096942091591e-10,9.0555142058871293e-11
16450,8.9115046870416227e-11,3.3410666431648978e-11,1.1776567525503373e-10
16500,4.5008562465249279e-11,2.9719254705482277e-11,4.5540434788985325e-11
16550,1.250697072005456e-10,2.5590799605782365e-10,2.1973071554967212e-10
16600,1.2753433085077398e-10,1.5648239931955381e-10,1.6979702504471713e-10
16650,1.3736051001423286e-10,2.0111354417681518e-10,3.1660328101367908e-10
16700,1.5536255019870396e-10,1.3159197089758079e-10,3.6209463884932667e-11
16750,2.0227472618337875e-10,1.4912479604928595e-10,6.0355281232869032e-11
16800,1.3009607068651874e-10,1.7801392136899283e-10,7.1190714097218887e-11
16850,1.6895491079514952e-10,1.6633348930617524e-10,2.5137160353829379e-10
16900,1.4066761519148631e-10,1.8375936482942738e-10,2.4499477719496813e-10
16950,7.8502241545462381e-11,1.5625689906353017e-10,8.4564272914825543e-11
17000,6.8666184608204153e-11,2.4079798709562672e-10,1.9407588221890986e-10
17050,6.2279040406206148e-11,9.8591089115631055e-11,1.1906047818452852e-10
17100,1.4164628683738431e-10,4.0142796758896887e-11,1.1875531058408555e-10
17150,8.5417480139936826e-11,1.2367058708645051e-10,4.1432683951205667e-11
17200,6.8201415096697908e-11,1.1173737489273821e-10,1.7988172678986084e-10
17250,2.725434176419283e-11,1.7268144685722918e-10,1.98178463777478e-10
17300,9.7928584215957989e-11,1.0219857167468037e-10,5.1743475043124211e-11
17350,1.7941335546895535e-10,2.3368195391976683e-10,1.5031372895981605e-10
17400,2.3741143453756307e-10,3.5569414290659064e-10,2.4294912033841105e-10
17450,1.034359043648141e-10,2.1029293592882795e-10,3.0085568423644606e-10
17500,6.6551377922164449e-11,9.1486471072750817e-11,1.2427083881402103e-10
17550,1.7427452523290364e-10,1.6532891624949401e-11,1.8485172715850234e-10
17600,3.496280279935547e-10,7.3854787448494652e-11,2.8235242775949966e-10
17650,1.3415621848682826e-10,5.3502898106699115e-11,1.1726759268988459e-10
17700,7.9805902510998959e-11,3.3132137921479125e-10,2.7248381410949976e-10
17750,1.5699979720058495e-10,6.729272771316011e-11,1.0376421645135669e-10
17800,2.7978032622210211e-10,3.2720226520142786e-10,8.3857998435017634e-11
17850,2.8425141731051912e-10,2.1232214632454435e-10,7.6324224480094888e-11
